Tr_Name,Park,Park_Tourism_Region,Visitor_State,Last_12_Months,Prior_12_Months,Pct_Change,Difference
Australia's Golden Outback,Amamoor State Forest and Forest Reserve,Sunshine Coast,WA,8,50,-84,-42
Australia's Golden Outback,Baldy Mountain Forest Reserve,Tropical North Queensland,WA,1,0,100,1
Australia's Golden Outback,Beerburrum and Beerwah State Forests,Sunshine Coast,WA,17,1,1600,16
Australia's Golden Outback,Blackdown Tableland National Park,Central Queensland,WA,3,2,50,1
Australia's Golden Outback,Bladensburg National Park,Outback,WA,0,8,-100,-8
Australia's Golden Outback,Boodjamulla (Lawn Hill) National Park,Tropical North Queensland,WA,0,4,-100,-4
Australia's Golden Outback,Bribie Island Recreation Area,Brisbane,WA,3,0,100,3
Australia's Golden Outback,Bunya Mountains National Park,Darling Downs,WA,0,5,-100,-5
Australia's Golden Outback,Byfield Conservation Park,Central Queensland,WA,2,0,100,2
Australia's Golden Outback,Byfield State Forest,Central Queensland,WA,14,8,75,6
Australia's Golden Outback,Cape Hillsborough National Park,Mackay,WA,14,12,16.66666667,2
Australia's Golden Outback,Cape Palmerston National Park,Mackay,WA,2,0,100,2
Australia's Golden Outback,Carnarvon National Park,Central Queensland,WA,0,2,-100,-2
Australia's Golden Outback,Conway National Park,Whitsundays,WA,2,0,100,2
Australia's Golden Outback,Cooloola Recreation Area,Sunshine Coast,WA,21,5,320,16
Australia's Golden Outback,Daintree National Park,Tropical North Queensland,WA,0,20,-100,-20
Australia's Golden Outback,Danbulla National Park,Tropical North Queensland,WA,25,18,38.88888889,7
Australia's Golden Outback,Deepwater National Park,Central Queensland,WA,3,2,50,1
Australia's Golden Outback,Eungella National Park,Mackay,WA,4,4,0,0
Australia's Golden Outback,Girramay National Park,Tropical North Queensland,WA,16,22,-27.27272727,-6
Australia's Golden Outback,Girraween National Park,Darling Downs,WA,4,6,-33.33333333,-2
Australia's Golden Outback,Girringun National Park,Tropical North Queensland,WA,10,20,-50,-10
Australia's Golden Outback,Gloucester Islands National Park,Whitsundays,WA,5,0,100,5
Australia's Golden Outback,"Hinchinbrook Island NP, Thorsborne Trail",Tropical North Queensland,WA,0,6,-100,-6
Australia's Golden Outback,Imbil State Forest,"Launceston, Tamar and the North",WA,0,1,-100,-1
Australia's Golden Outback,Inskip Peninsula Recreation Area,Sunshine Coast,WA,14,41,-65.85365854,-27
Australia's Golden Outback,Isla Gorge National Park,Central Queensland,WA,2,0,100,2
Australia's Golden Outback,Jardine River National Park,Tropical North Queensland,WA,4,6,-33.33333333,-2
Australia's Golden Outback,K'gari (Fraser Island) Great Walk,Fraser Coast,WA,3,5,-40,-2
Australia's Golden Outback,K'gari (Fraser Island) Recreation Area,Fraser Coast,WA,78,106,-26.41509434,-28
Australia's Golden Outback,Kutini-Payamu (Iron Range) National Park (CYPAL),Tropical North Queensland,WA,18,16,12.5,2
Australia's Golden Outback,Molle Islands National Park,Whitsundays,WA,0,2,-100,-2
Australia's Golden Outback,Moorrinya National Park,Outback,WA,0,4,-100,-4
Australia's Golden Outback,Paluma Range National Park,Townsville,WA,42,26,61.53846154,16
Australia's Golden Outback,Porcupine Gorge National Park,Outback,WA,4,4,0,0
Australia's Golden Outback,Rinyirru (Lakefield) National Park (CYPAL),Tropical North Queensland,WA,3,55,-94.54545455,-52
Australia's Golden Outback,Russell River National Park,Tropical North Queensland,WA,1,0,100,1
Australia's Golden Outback,Speewah Conservation Park,Tropical North Queensland,WA,2,4,-50,-2
Australia's Golden Outback,Springbrook National Park,Gold Coast,WA,4,0,100,4
Australia's Golden Outback,Sundown National Park,Darling Downs,WA,6,0,100,6
Australia's Golden Outback,White Mountains National Park,Townsville,WA,0,4,-100,-4
Australia's Golden Outback,Whitsunday Islands National Park,Whitsundays,WA,1,3,-66.66666667,-2
Australia's Golden Outback,Wooroonooran National Park,Tropical North Queensland,WA,0,13,-100,-13
Australia's North West,Auburn River National Park,Bundaberg,WA,0,1,-100,-1
Australia's North West,Beerburrum and Beerwah State Forests,Sunshine Coast,WA,8,3,166.6666667,5
Australia's North West,Blackdown Tableland National Park,Central Queensland,WA,3,4,-25,-1
Australia's North West,Bladensburg National Park,Outback,WA,4,4,0,0
Australia's North West,Boodjamulla (Lawn Hill) National Park,Tropical North Queensland,WA,0,16,-100,-16
Australia's North West,Bribie Island Recreation Area,Brisbane,WA,0,4,-100,-4
Australia's North West,Brooyar State Forest,"Launceston, Tamar and the North",WA,2,0,100,2
Australia's North West,Bunya Mountains National Park,Darling Downs,WA,0,6,-100,-6
Australia's North West,Burrum Coast National Park,Fraser Coast,WA,10,1,900,9
Australia's North West,Byfield State Forest,Central Queensland,WA,18,21,-14.28571429,-3
Australia's North West,Cape Hillsborough National Park,Mackay,WA,18,0,100,18
Australia's North West,Conondale National Park,Sunshine Coast,WA,10,23,-56.52173913,-13
Australia's North West,Conway National Park,Whitsundays,WA,0,0,100,0
Australia's North West,Cooloola Great Walk,Sunshine Coast,WA,4,0,100,4
Australia's North West,Cooloola Recreation Area,Sunshine Coast,WA,29,13,123.0769231,16
Australia's North West,Crediton State Forest,Mackay,WA,0,5,-100,-5
