suburbName actual,Cel Lga Name 1,Month of Adjusted Dt,Pct,Percent
Bald Hills,Logan City,Jul-23,0.32308,32.30769231
Bald Hills,Logan City,Jan-23,0.03077,3.076923077
Bald Hills,Logan City,Feb-23,0.04615,4.615384615
Bald Hills,Logan City,Apr-23,0.13846,13.84615385
Bald Hills,Mackay Regional,May-23,0.22222,22.22222222
Bald Hills,Mackay Regional,Jun-23,0.11111,11.11111111
Bald Hills,Mackay Regional,Jul-23,0.33333,33.33333333
Bald Hills,Mackay Regional,Feb-23,0.11111,11.11111111
Bald Hills,Mackay Regional,Apr-23,0.22222,22.22222222
Bald Hills,Noosa Shire,May-23,0.14286,14.28571429
Bald Hills,Noosa Shire,Mar-23,0.14286,14.28571429
Bald Hills,Noosa Shire,Jul-23,0.57143,57.14285714
Bald Hills,Noosa Shire,Apr-23,0.14286,14.28571429
Bald Hills,Redland City,May-23,0.28889,28.88888889
Bald Hills,Redland City,Mar-23,0.04444,4.444444444
Bald Hills,Redland City,Jun-23,0.26667,26.66666667
Bald Hills,Redland City,Jul-23,0.15556,15.55555556
Bald Hills,Redland City,Jan-23,0.11111,11.11111111
Bald Hills,Redland City,Feb-23,0.04444,4.444444444
Bald Hills,Redland City,Apr-23,0.08889,8.888888889
Bald Hills,Scenic Rim Regional,Jun-23,1.00000,100
Bald Hills,Sunshine Coast Regional,May-23,0.12676,12.67605634
Bald Hills,Sunshine Coast Regional,Mar-23,0.08451,8.450704225
Bald Hills,Sunshine Coast Regional,Jun-23,0.26761,26.76056338
Bald Hills,Sunshine Coast Regional,Jul-23,0.26761,26.76056338
Bald Hills,Sunshine Coast Regional,Jan-23,0.04225,4.225352113
Bald Hills,Sunshine Coast Regional,Feb-23,0.05634,5.633802817
Bald Hills,Sunshine Coast Regional,Apr-23,0.15493,15.49295775
Bald Hills,Toowoomba Regional,May-23,0.07143,7.142857143
Bald Hills,Toowoomba Regional,Mar-23,0.07143,7.142857143
Bald Hills,Toowoomba Regional,Jun-23,0.42857,42.85714286
Bald Hills,Toowoomba Regional,Jul-23,0.35714,35.71428571
Bald Hills,Toowoomba Regional,Apr-23,0.07143,7.142857143
Bald Hills,Townsville City,May-23,0.44444,44.44444444
Bald Hills,Townsville City,Jun-23,0.11111,11.11111111
Bald Hills,Townsville City,Jul-23,0.33333,33.33333333
Bald Hills,Townsville City,Feb-23,0.11111,11.11111111
Banks Creek,Brisbane City,May-23,0.24800,24.8
Banks Creek,Brisbane City,Mar-23,0.12400,12.4
Banks Creek,Brisbane City,Jun-23,0.20000,20
Banks Creek,Brisbane City,Jul-23,0.16000,16
Banks Creek,Brisbane City,Jan-23,0.08400,8.4
Banks Creek,Brisbane City,Feb-23,0.08000,8
Banks Creek,Brisbane City,Apr-23,0.10400,10.4
Banks Creek,Bundaberg Regional,Jun-23,1.00000,100
Banks Creek,Gold Coast City,May-23,0.30769,30.76923077
Banks Creek,Gold Coast City,Mar-23,0.15385,15.38461539
Banks Creek,Gold Coast City,Jun-23,0.23077,23.07692308
Banks Creek,Gold Coast City,Jul-23,0.07692,7.692307692
Banks Creek,Gold Coast City,Jan-23,0.15385,15.38461539
Banks Creek,Gold Coast City,Feb-23,0.07692,7.692307692
Banks Creek,Gympie Regional,Jun-23,0.50000,50
Banks Creek,Gympie Regional,Jan-23,0.50000,50
Banks Creek,Ipswich City,May-23,0.23077,23.07692308
Banks Creek,Ipswich City,Mar-23,0.15385,15.38461539
Banks Creek,Ipswich City,Jun-23,0.15385,15.38461539
Banks Creek,Ipswich City,Jul-23,0.15385,15.38461539
Banks Creek,Ipswich City,Jan-23,0.07692,7.692307692
Banks Creek,Ipswich City,Feb-23,0.15385,15.38461539
Banks Creek,Ipswich City,Apr-23,0.07692,7.692307692
Banks Creek,Logan City,May-23,0.18182,18.18181818
Banks Creek,Logan City,Mar-23,0.27273,27.27272727
Banks Creek,Logan City,Jun-23,0.18182,18.18181818
Banks Creek,Logan City,Jul-23,0.18182,18.18181818
Banks Creek,Logan City,Feb-23,0.09091,9.090909091
Banks Creek,Logan City,Apr-23,0.09091,9.090909091
Banks Creek,Noosa Shire,May-23,1.00000,100
Banks Creek,Redland City,May-23,0.19048,19.04761905
Banks Creek,Redland City,Mar-23,0.19048,19.04761905
Banks Creek,Redland City,Jun-23,0.19048,19.04761905
Banks Creek,Redland City,Jul-23,0.14286,14.28571429
Banks Creek,Redland City,Jan-23,0.04762,4.761904762
Banks Creek,Redland City,Feb-23,0.04762,4.761904762
Banks Creek,Redland City,Apr-23,0.19048,19.04761905
Banks Creek,Scenic Rim Regional,Jun-23,1.00000,100
