Base.Device Id,Base.Adjusted Dt,Base.Lat,Base.Long,normalized_timestamp
PERTH-SYDNEY,04-01-1984 01:00,-33.868,151.21,0.04
SUNSHINE COAST-SYDNEY,04-01-1984 00:00,-26.6524,153.0882,0
SUNSHINE COAST-SYDNEY,04-01-1984 01:00,-33.868,151.21,0.04
SYDNEY-TOWNSVILLE,04-01-1984 00:00,-33.868,151.21,0
SYDNEY-TOWNSVILLE,04-01-1984 01:00,-19.25,146.8,0.04
SYDNEY-WAGGA WAGGA,04-01-1984 00:00,-33.868,151.21,0
SYDNEY-WAGGA WAGGA,04-01-1984 01:00,-35.115,147.3678,0.04
ADELAIDE-ALICE SPRINGS,05-01-1984 00:00,-34.9329,138.5998,0
ADELAIDE-ALICE SPRINGS,05-01-1984 01:00,-23.6984,133.8813,0.04
ADELAIDE-BRISBANE,05-01-1984 00:00,-34.9329,138.5998,0
ADELAIDE-BRISBANE,05-01-1984 01:00,-27.469,153.0235,0.04
ADELAIDE-CANBERRA,05-01-1984 00:00,-34.9329,138.5998,0
ADELAIDE-CANBERRA,05-01-1984 01:00,-35.2819,149.1289,0.04
ADELAIDE-DARWIN,05-01-1984 00:00,-34.9329,138.5998,0
ADELAIDE-DARWIN,05-01-1984 01:00,-12.461,130.841,0.04
ADELAIDE-GOLD COAST,05-01-1984 00:00,-34.9329,138.5998,0
ADELAIDE-GOLD COAST,05-01-1984 01:00,-28.0001,153.431,0.04
ADELAIDE-MELBOURNE,05-01-1984 00:00,-34.9329,138.5998,0
ADELAIDE-MELBOURNE,05-01-1984 01:00,-37.8142,144.9632,0.04
ADELAIDE-PERTH,05-01-1984 00:00,-34.9329,138.5998,0
