Month of Month of Booking Date,Park,Park_Tourism_Region,Tr_Name,Year of Month of Booking Date,Visitors,month_year
April,Total,"Launceston, Tamar and the North",Great Ocean Road,2022,4,Apr-22
April,Total,Fraser Coast,Great Ocean Road,2022,37,Apr-22
April,Total,Darling Downs,Great Ocean Road,2022,16,Apr-22
April,Total,Brisbane,Great Ocean Road,2022,8,Apr-22
April,Total,Sunshine Coast,Goulburn,2022,6,Apr-22
April,Total,Fraser Coast,Goulburn,2022,160,Apr-22
April,Total,Darling Downs,Goulburn,2022,6,Apr-22
April,Total,Whitsundays,Gold Coast,2022,5,Apr-22
April,Total,Tropical North Queensland,Gold Coast,2022,148,Apr-22
April,Total,Townsville,Gold Coast,2022,32,Apr-22
April,Total,Sunshine Coast,Gold Coast,2022,1816,Apr-22
April,Total,Outback,Gold Coast,2022,44,Apr-22
April,Total,Mackay,Gold Coast,2022,25,Apr-22
April,Total,"Launceston, Tamar and the North",Gold Coast,2022,30,Apr-22
April,Total,Gold Coast,Gold Coast,2022,131,Apr-22
April,Total,Fraser Coast,Gold Coast,2022,1187,Apr-22
April,Total,Darling Downs,Gold Coast,2022,172,Apr-22
April,Total,Central Queensland,Gold Coast,2022,246,Apr-22
April,Total,Brisbane,Gold Coast,2022,427,Apr-22
April,Total,Tropical North Queensland,Gladstone,2022,18,Apr-22
April,Total,Sunshine Coast,Gladstone,2022,4,Apr-22
April,Total,Fraser Coast,Gladstone,2022,20,Apr-22
April,Total,Darling Downs,Gladstone,2022,2,Apr-22
April,Total,Central Queensland,Gladstone,2022,69,Apr-22
April,Total,Tropical North Queensland,Gippsland,2022,57,Apr-22
April,Total,Townsville,Gippsland,2022,9,Apr-22
April,Total,Sunshine Coast,Gippsland,2022,48,Apr-22
April,Total,Outback,Gippsland,2022,8,Apr-22
April,Total,Mackay,Gippsland,2022,22,Apr-22
April,Total,Gold Coast,Gippsland,2022,1,Apr-22
April,Total,Fraser Coast,Gippsland,2022,158,Apr-22
April,Total,Darling Downs,Gippsland,2022,28,Apr-22
April,Total,Central Queensland,Gippsland,2022,36,Apr-22
April,Total,Bundaberg,Gippsland,2022,4,Apr-22
April,Total,Brisbane,Gippsland,2022,5,Apr-22
April,Total,Tropical North Queensland,Geelong and the Bellarine,2022,93,Apr-22
April,Total,Townsville,Geelong and the Bellarine,2022,8,Apr-22
April,Total,Sunshine Coast,Geelong and the Bellarine,2022,50,Apr-22
April,Total,Outback,Geelong and the Bellarine,2022,17,Apr-22
April,Total,Mackay,Geelong and the Bellarine,2022,10,Apr-22
April,Total,Gold Coast,Geelong and the Bellarine,2022,2,Apr-22
April,Total,Fraser Coast,Geelong and the Bellarine,2022,26,Apr-22
April,Total,Central Queensland,Geelong and the Bellarine,2022,6,Apr-22
April,Total,Brisbane,Geelong and the Bellarine,2022,8,Apr-22
April,Total,Tropical North Queensland,Fraser Coast,2022,154,Apr-22
April,Total,Townsville,Fraser Coast,2022,8,Apr-22
April,Total,Sunshine Coast,Fraser Coast,2022,734,Apr-22
April,Total,Outback,Fraser Coast,2022,74,Apr-22
April,Total,Mackay,Fraser Coast,2022,52,Apr-22
April,Total,"Launceston, Tamar and the North",Fraser Coast,2022,12,Apr-22
April,Total,Gold Coast,Fraser Coast,2022,3,Apr-22
April,Total,Fraser Coast,Fraser Coast,2022,1096,Apr-22
April,Total,Darling Downs,Fraser Coast,2022,31,Apr-22
April,Total,Central Queensland,Fraser Coast,2022,165,Apr-22
April,Total,Bundaberg,Fraser Coast,2022,17,Apr-22
April,Total,Brisbane,Fraser Coast,2022,27,Apr-22
April,Total,Tropical North Queensland,Flinders Ranges and Outback,2022,2,Apr-22
April,Total,Tropical North Queensland,Fleurieu Peninsula,2022,54,Apr-22
April,Total,Townsville,Fleurieu Peninsula,2022,6,Apr-22
April,Total,Sunshine Coast,Fleurieu Peninsula,2022,30,Apr-22
April,Total,Outback,Fleurieu Peninsula,2022,16,Apr-22
April,Total,Mackay,Fleurieu Peninsula,2022,25,Apr-22
April,Total,Gold Coast,Fleurieu Peninsula,2022,10,Apr-22
April,Total,Fraser Coast,Fleurieu Peninsula,2022,46,Apr-22
April,Total,Darling Downs,Fleurieu Peninsula,2022,3,Apr-22
April,Total,Central Queensland,Fleurieu Peninsula,2022,20,Apr-22
April,Total,Brisbane,Fleurieu Peninsula,2022,6,Apr-22
April,Total,Tropical North Queensland,Eyre Peninsula,2022,6,Apr-22
