Suburb,Month of Dates,Occupancy Percent
Bunya,Dec-22,96.77
Bunya,Nov-22,93.33
Bunya,Oct-22,93.55
Bunya,Sep-22,93.33
Bunya,Aug-22,96.77
Bunya,Jul-22,100
Bunya,Jun-22,100
Bunya,May-22,80.65
Bunya,Apr-22,100
Bunya,Mar-22,100
Bunya,Feb-22,97.3
Bunya,Jan-22,100
Bunya,Dec-21,100
Bunya,Nov-21,100
Bunya,Oct-21,100
Bunya,Sep-21,100
Bunya,Aug-21,100
Bunya,Jul-21,100
Burpengary,Jul-23,50.72
Burpengary,Jun-23,63.3
Burpengary,May-23,59.4
Burpengary,Apr-23,86.61
Burpengary,Mar-23,77.42
Burpengary,Feb-23,77.23
Burpengary,Jan-23,78.54
Burpengary,Dec-22,96.38
Burpengary,Nov-22,97.62
Burpengary,Oct-22,89.78
Burpengary,Sep-22,80.69
Burpengary,Aug-22,76.21
Burpengary,Jul-22,73.89
Burpengary,Jun-22,53.58
Burpengary,May-22,45.79
Burpengary,Apr-22,54.3
Burpengary,Mar-22,45.41
Burpengary,Feb-22,60.2
Burpengary,Jan-22,57.6
Burpengary,Dec-21,57.6
Burpengary,Nov-21,64.79
Burpengary,Oct-21,64.52
Burpengary,Sep-21,57.62
Burpengary,Aug-21,63.59
Burpengary,Jul-21,81.57
Burpengary East,Jul-23,58.99
Burpengary East,Jun-23,55.74
Burpengary East,May-23,36.9
Burpengary East,Apr-23,37.04
Burpengary East,Mar-23,41.76
Burpengary East,Feb-23,39.32
Burpengary East,Jan-23,38.85
Burpengary East,Dec-22,28.46
Burpengary East,Nov-22,33.98
Burpengary East,Oct-22,50.54
Burpengary East,Sep-22,52.22
Burpengary East,Aug-22,50.54
Burpengary East,Jul-22,52.56
Burpengary East,Jun-22,30.61
Burpengary East,May-22,0
Burpengary East,Apr-22,10
Burpengary East,Mar-22,9.68
Burpengary East,Feb-22,17.86
Burpengary East,Jan-22,32.26
Burpengary East,Dec-21,22.58
Burpengary East,Nov-21,13.33
Burpengary East,Oct-21,48.39
Burpengary East,Sep-21,13.04
Burpengary East,Aug-21,0
Burpengary East,Jul-21,30.23
Caboolture,Jul-23,57.69
Caboolture,Jun-23,58.11
Caboolture,May-23,47.03
Caboolture,Apr-23,58.03
Caboolture,Mar-23,60.8
Caboolture,Feb-23,59.22
Caboolture,Jan-23,60.09
Caboolture,Dec-22,60.07
Caboolture,Nov-22,45.45
Caboolture,Oct-22,63.99
Caboolture,Sep-22,58.02
Caboolture,Aug-22,61.62
Caboolture,Jul-22,64.59
Caboolture,Jun-22,61.02
Caboolture,May-22,58.56
Caboolture,Apr-22,59.52
Caboolture,Mar-22,49.31
Caboolture,Feb-22,49.5
Caboolture,Jan-22,59.68
Caboolture,Dec-21,52.35
Caboolture,Nov-21,53.61
Caboolture,Oct-21,62.07
Caboolture,Sep-21,64.17
Caboolture,Aug-21,58.81
Caboolture,Jul-21,69.53
Caboolture South,Jul-23,59.89
Caboolture South,Jun-23,73.13
Caboolture South,May-23,49.68
Caboolture South,Apr-23,62.67
Caboolture South,Mar-23,49.65
Caboolture South,Feb-23,72.62
Caboolture South,Jan-23,52.75
Caboolture South,Dec-22,72.86
Caboolture South,Nov-22,51.43
Caboolture South,Oct-22,62.9
Caboolture South,Sep-22,73.68
Caboolture South,Aug-22,12.9
Caboolture South,Jul-22,75
Caboolture South,Jun-22,86.67
Caboolture South,May-22,8.11
Caboolture South,Apr-22,0
Caboolture South,Mar-22,0
Caboolture South,Feb-22,0
Caboolture South,Jan-22,0
Caboolture South,Dec-21,100
Caboolture South,Nov-21,100
Caboolture South,Oct-21,88.57
Caboolture South,Sep-21,33.33
Caboolture South,Aug-21,33.33
Caboolture South,Jul-21,33.33
Camp Mountain,Jul-23,74.47
Camp Mountain,Jun-23,49.15
Camp Mountain,May-23,60.48
Camp Mountain,Apr-23,65.83
Camp Mountain,Mar-23,58.87
Camp Mountain,Feb-23,52.68
Camp Mountain,Jan-23,54.03
Camp Mountain,Dec-22,81.55
Camp Mountain,Nov-22,76.67
Camp Mountain,Oct-22,67.59
Camp Mountain,Sep-22,60
Camp Mountain,Aug-22,59.68
Camp Mountain,Jul-22,56.56
Camp Mountain,Jun-22,58.33
Camp Mountain,May-22,42.74
Camp Mountain,Apr-22,40
Camp Mountain,Mar-22,50.81
Camp Mountain,Feb-22,77.98
Camp Mountain,Jan-22,83.74
Camp Mountain,Dec-21,89.17
Camp Mountain,Nov-21,81.67
Camp Mountain,Oct-21,76.61
Camp Mountain,Sep-21,64.17
Camp Mountain,Aug-21,69.35
Camp Mountain,Jul-21,80.31
Cashmere,Jul-23,68.72
Cashmere,Jun-23,59.04
Cashmere,May-23,41.4
Cashmere,Apr-23,67.02
