Tr_Name,Park_Tourism_Region,Last_Yr,This_Yr,Percent_Change
Gladstone,Outback,12,40,233.3333333
Gladstone,Sunshine Coast,468,"1,002",114.1025641
Gladstone,Townsville,152,60,-60.52631579
Gladstone,Tropical North Queensland,204,262,28.43137255
Gladstone,Whitsundays,0,44,100
Gold Coast,All,"1,27,420","1,11,948",-12.1425208
Gold Coast,Brisbane,"9,382","9,174",-2.217011298
Gold Coast,Bundaberg,176,48,-72.72727273
Gold Coast,Central Queensland,"10,072","6,394",-36.51707705
Gold Coast,Darling Downs,"5,530","5,582",0.940325497
Gold Coast,Fraser Coast,"39,762","33,638",-15.40163976
Gold Coast,Gold Coast,"2,682","2,456",-8.426547353
Gold Coast,"Launceston, Tamar and the North","1,496","2,524",68.71657754
Gold Coast,Mackay,744,630,-15.32258065
Gold Coast,Outback,796,796,0
Gold Coast,Queensland Country,60,380,533.3333333
Gold Coast,Sunshine Coast,"51,058","45,678",-10.53703631
Gold Coast,Townsville,552,534,-3.260869565
Gold Coast,Tropical North Queensland,"4,440","3,472",-21.8018018
Gold Coast,Whitsundays,670,642,-4.179104478
Goulburn,All,"5,120","5,116",-0.078125
Goulburn,Brisbane,16,22,37.5
Goulburn,Bundaberg,4,0,-100
Goulburn,Central Queensland,130,166,27.69230769
Goulburn,Darling Downs,28,28,0
Goulburn,Fraser Coast,"3,502","2,852",-18.56082239
Goulburn,Gold Coast,16,24,50
Goulburn,"Launceston, Tamar and the North",0,62,100
Goulburn,Mackay,16,14,-12.5
Goulburn,Outback,62,112,80.64516129
Goulburn,Sunshine Coast,532,786,47.7443609
Goulburn,Townsville,80,88,10
Goulburn,Tropical North Queensland,734,958,30.51771117
Goulburn,Whitsundays,0,4,100
Great Ocean Road,All,"7,802","6,182",-20.76390669
Great Ocean Road,Brisbane,94,28,-70.21276596
Great Ocean Road,Bundaberg,28,0,-100
Great Ocean Road,Central Queensland,500,612,22.4
Great Ocean Road,Darling Downs,104,148,42.30769231
Great Ocean Road,Fraser Coast,"3,008","2,820",-6.25
Great Ocean Road,Gold Coast,48,38,-20.83333333
Great Ocean Road,"Launceston, Tamar and the North",36,34,-5.555555556
Great Ocean Road,Mackay,202,148,-26.73267327
Great Ocean Road,Outback,388,246,-36.59793814
Great Ocean Road,Sunshine Coast,"1,134",994,-12.34567901
Great Ocean Road,Townsville,270,224,-17.03703704
Great Ocean Road,Tropical North Queensland,"1,766",802,-54.58663647
Great Ocean Road,Whitsundays,224,88,-60.71428571
High Country,All,"9,138","9,126",-0.131319764
High Country,Brisbane,54,234,333.3333333
High Country,Bundaberg,12,48,300
High Country,Central Queensland,550,620,12.72727273
High Country,Darling Downs,44,206,368.1818182
High Country,Fraser Coast,"3,976","4,562",14.73843058
High Country,Gold Coast,44,84,90.90909091
High Country,"Launceston, Tamar and the North",8,38,375
High Country,Mackay,72,84,16.66666667
High Country,Outback,328,280,-14.63414634
High Country,Sunshine Coast,"1,732","1,454",-16.05080831
High Country,Townsville,316,220,-30.37974684
High Country,Tropical North Queensland,"1,850","1,238",-33.08108108
High Country,Whitsundays,152,58,-61.84210526
Hobart and the South,All,"7,470","8,574",14.77911647
Hobart and the South,Brisbane,296,322,8.783783784
Hobart and the South,Bundaberg,0,32,100
Hobart and the South,Central Queensland,766,"1,116",45.69190601
Hobart and the South,Darling Downs,252,342,35.71428571
