Origin SA3,Month of Purchase Month (copy),Pct,Percent_Change
Blacktown,Jun-22,0.1792000,17.92
Blacktown,Jul-22,0.2436000,24.36
Blacktown,Aug-22,0.0986000,9.86
Blacktown,Sep-22,0.0816000,8.16
Blacktown,Oct-22,0.0060000,0.6
Blacktown,Mar-23,0.0057000,0.57
Blacktown,Apr-23,0.0038000,0.38
Blacktown,May-23,0.1132000,11.32
Blacktown - North,Jan-22,0.0002000,0.02
Blacktown - North,Mar-22,0.0073000,0.73
Blacktown - North,Apr-22,0.0258000,2.58
Blacktown - North,May-22,0.0410000,4.1
Blacktown - North,Jun-22,0.2671000,26.71
Blacktown - North,Jul-22,0.1393000,13.93
Blacktown - North,Aug-22,0.0876000,8.76
Blacktown - North,Sep-22,0.1000000,10
Blacktown - North,Oct-22,0.0334000,3.34
Blacktown - North,Nov-22,0.0062000,0.62
Blacktown - North,Dec-22,0.0035000,0.35
Blacktown - North,Jan-23,0.0336000,3.36
Blacktown - North,Mar-23,0.0001000,0.01
Blacktown - North,Apr-23,0.2360000,23.6
Blacktown - North,May-23,0.0189000,1.89
Blue Mountains,Jan-22,0.0075000,0.75
Blue Mountains,Feb-22,0.0027000,0.27
Blue Mountains,Mar-22,0.0265000,2.65
Blue Mountains,Apr-22,0.0349000,3.49
Blue Mountains,May-22,0.0922000,9.22
Blue Mountains,Jun-22,0.1252000,12.52
Blue Mountains,Jul-22,0.1636000,16.36
Blue Mountains,Aug-22,0.1469000,14.69
Blue Mountains,Sep-22,0.0822000,8.22
Blue Mountains,Oct-22,0.0615000,6.15
Blue Mountains,Nov-22,0.0334000,3.34
Blue Mountains,Dec-22,0.0146000,1.46
Blue Mountains,Jan-23,0.0634000,6.34
Blue Mountains,Feb-23,0.0001000,0.01
Blue Mountains,Mar-23,0.0238000,2.38
Blue Mountains,Apr-23,0.0422000,4.22
Blue Mountains,May-23,0.0794000,7.94
Blue Mountains - South,Mar-22,0.0053000,0.53
Blue Mountains - South,May-22,0.0881000,8.81
Blue Mountains - South,Jun-22,0.1678000,16.78
Blue Mountains - South,Jul-22,0.1022000,10.22
Blue Mountains - South,Aug-22,0.3293000,32.93
Blue Mountains - South,Sep-22,0.2476000,24.76
Blue Mountains - South,Oct-22,0.0140000,1.4
Blue Mountains - South,Nov-22,0.0032000,0.32
Blue Mountains - South,Mar-23,0.0069000,0.69
Blue Mountains - South,Apr-23,0.0145000,1.45
Blue Mountains - South,May-23,0.0210000,2.1
Boroondara,Jan-22,0.0009000,0.09
Boroondara,Feb-22,0.0020000,0.2
Boroondara,Mar-22,0.0111000,1.11
Boroondara,Apr-22,0.0309000,3.09
Boroondara,May-22,0.1446000,14.46
Boroondara,Jun-22,0.1952000,19.52
Boroondara,Jul-22,0.1740000,17.4
Boroondara,Aug-22,0.1697000,16.97
Boroondara,Sep-22,0.0921000,9.21
Boroondara,Oct-22,0.0312000,3.12
Boroondara,Nov-22,0.0022000,0.22
Boroondara,Dec-22,0.0033000,0.33
Boroondara,Jan-23,0.0069000,0.69
Boroondara,Feb-23,0.0022000,0.22
Boroondara,Mar-23,0.0106000,1.06
Boroondara,Apr-23,0.0420000,4.2
Boroondara,May-23,0.0809000,8.09
Botany,Jun-22,0.0297000,2.97
Botany,Jul-22,0.0148000,1.48
Botany,Aug-22,0.3569000,35.69
Botany,Sep-22,0.2329000,23.29
Botany,Oct-22,0.0554000,5.54
Botany,Dec-22,0.0930000,9.3
Botany,Jan-23,0.0151000,1.51
Botany,Apr-23,0.2021000,20.21
Bourke - Cobar - Coonamble,Mar-22,0.0009000,0.09
Bourke - Cobar - Coonamble,Apr-22,0.0234000,2.34
Bourke - Cobar - Coonamble,May-22,0.1040000,10.4
Bourke - Cobar - Coonamble,Jun-22,0.0376000,3.76
Bourke - Cobar - Coonamble,Jul-22,0.2202000,22.02
Bourke - Cobar - Coonamble,Aug-22,0.3720000,37.2
Bourke - Cobar - Coonamble,Sep-22,0.1504000,15.04
Bourke - Cobar - Coonamble,Oct-22,0.0319000,3.19
Bourke - Cobar - Coonamble,Nov-22,0.0093000,0.93
Bourke - Cobar - Coonamble,Dec-22,0.0008000,0.08
Bourke - Cobar - Coonamble,Jan-23,0.0002000,0.02
Bourke - Cobar - Coonamble,Feb-23,0.0007000,0.07
Bourke - Cobar - Coonamble,Apr-23,0.0180000,1.8
Bourke - Cobar - Coonamble,May-23,0.0307000,3.07
Bowen Basin - North,Jan-22,0.0018000,0.18
Bowen Basin - North,Feb-22,0.0069000,0.69
Bowen Basin - North,Mar-22,0.0036000,0.36
Bowen Basin - North,Apr-22,0.0200000,2
Bowen Basin - North,May-22,0.0163000,1.63
Bowen Basin - North,Jun-22,0.2517000,25.17
Bowen Basin - North,Jul-22,0.2212000,22.12
Bowen Basin - North,Aug-22,0.0783000,7.83
Bowen Basin - North,Sep-22,0.1868000,18.68
Bowen Basin - North,Oct-22,0.0493000,4.93
Bowen Basin - North,Nov-22,0.0505000,5.05
Bowen Basin - North,Dec-22,0.0093000,0.93
Bowen Basin - North,Jan-23,0.0067000,0.67
Bowen Basin - North,Apr-23,0.0694000,6.94
Bowen Basin - North,May-23,0.0283000,2.83
Bribie - Beachmere,Jan-22,0.0027000,0.27
Bribie - Beachmere,Mar-22,0.0130000,1.3
Bribie - Beachmere,Apr-22,0.0230000,2.3
Bribie - Beachmere,May-22,0.1274000,12.74
Bribie - Beachmere,Jun-22,0.1576000,15.76
Bribie - Beachmere,Jul-22,0.1457000,14.57
Bribie - Beachmere,Aug-22,0.1563000,15.63
Bribie - Beachmere,Sep-22,0.1495000,14.95
Bribie - Beachmere,Oct-22,0.0853000,8.53
Bribie - Beachmere,Nov-22,0.0135000,1.35
Bribie - Beachmere,Dec-22,0.0002000,0.02
Bribie - Beachmere,Jan-23,0.0026000,0.26
Bribie - Beachmere,Feb-23,0.0032000,0.32
Bribie - Beachmere,Mar-23,0.0082000,0.82
Bribie - Beachmere,Apr-23,0.0126000,1.26
Bribie - Beachmere,May-23,0.0989000,9.89
Brimbank,Mar-22,0.0091000,0.91
Brimbank,Apr-22,0.0408000,4.08
Brimbank,May-22,0.0377000,3.77
Brimbank,Jun-22,0.1113000,11.13
Brimbank,Jul-22,0.1286000,12.86
Brimbank,Aug-22,0.2963000,29.63
Brimbank,Sep-22,0.2534000,25.34
Brimbank,Oct-22,0.0316000,3.16
Brimbank,Nov-22,0.0094000,0.94
Brimbank,Dec-22,0.0146000,1.46
Brimbank,Jan-23,0.0086000,0.86
Brimbank,Mar-23,0.0223000,2.23
Brimbank,Apr-23,0.0217000,2.17
Brimbank,May-23,0.0146000,1.46
Bringelly - Green Valley,Feb-22,0.0008000,0.08
Bringelly - Green Valley,Mar-22,0.0250000,2.5
Bringelly - Green Valley,Apr-22,0.0338000,3.38
Bringelly - Green Valley,May-22,0.0678000,6.78
Bringelly - Green Valley,Jun-22,0.0905000,9.05
Bringelly - Green Valley,Jul-22,0.2248000,22.48
Bringelly - Green Valley,Aug-22,0.2457000,24.57
Bringelly - Green Valley,Sep-22,0.1607000,16.07
Bringelly - Green Valley,Oct-22,0.0298000,2.98
Bringelly - Green Valley,Nov-22,0.0134000,1.34
Bringelly - Green Valley,Dec-22,0.0078000,0.78
Bringelly - Green Valley,Jan-23,0.0226000,2.26
Bringelly - Green Valley,Mar-23,0.0141000,1.41
Bringelly - Green Valley,Apr-23,0.0315000,3.15
Bringelly - Green Valley,May-23,0.0318000,3.18
Brisbane Inner,Jan-22,0.0291000,2.91
Brisbane Inner,Feb-22,0.0111000,1.11
Brisbane Inner,Mar-22,0.0196000,1.96
Brisbane Inner,Apr-22,0.0101000,1.01
Brisbane Inner,May-22,0.0695000,6.95
Brisbane Inner,Jun-22,0.1217000,12.17
Brisbane Inner,Jul-22,0.1868000,18.68
Brisbane Inner,Aug-22,0.2103000,21.03
Brisbane Inner,Sep-22,0.0948000,9.48
Brisbane Inner,Oct-22,0.0423000,4.23
Brisbane Inner,Nov-22,0.0485000,4.85
Brisbane Inner,Dec-22,0.0013000,0.13
Brisbane Inner,Jan-23,0.0494000,4.94
Brisbane Inner,Feb-23,0.0038000,0.38
Brisbane Inner,Mar-23,0.0151000,1.51
Brisbane Inner,Apr-23,0.0506000,5.06
Brisbane Inner,May-23,0.0358000,3.58
Brisbane Inner - East,Jan-22,0.0013000,0.13
Brisbane Inner - East,Feb-22,0.0007000,0.07
Brisbane Inner - East,Mar-22,0.0116000,1.16
Brisbane Inner - East,Apr-22,0.0154000,1.54
Brisbane Inner - East,May-22,0.0819000,8.19
Brisbane Inner - East,Jun-22,0.2272000,22.72
Brisbane Inner - East,Jul-22,0.2152000,21.52
Brisbane Inner - East,Aug-22,0.1597000,15.97
Brisbane Inner - East,Sep-22,0.1001000,10.01
Brisbane Inner - East,Oct-22,0.0246000,2.46
Brisbane Inner - East,Nov-22,0.0261000,2.61
Brisbane Inner - East,Dec-22,0.0143000,1.43
Brisbane Inner - East,Jan-23,0.0095000,0.95
Brisbane Inner - East,Feb-23,0.0031000,0.31
Brisbane Inner - East,Mar-23,0.0162000,1.62
Brisbane Inner - East,Apr-23,0.0119000,1.19
Brisbane Inner - East,May-23,0.0813000,8.13
Brisbane Inner - North,Jan-22,0.0011000,0.11
Brisbane Inner - North,Feb-22,0.0031000,0.31
Brisbane Inner - North,Mar-22,0.0142000,1.42
Brisbane Inner - North,Apr-22,0.0346000,3.46
Brisbane Inner - North,May-22,0.0933000,9.33
Brisbane Inner - North,Jun-22,0.1543000,15.43
Brisbane Inner - North,Jul-22,0.1387000,13.87
Brisbane Inner - North,Aug-22,0.1472000,14.72
Brisbane Inner - North,Sep-22,0.1546000,15.46
Brisbane Inner - North,Oct-22,0.0427000,4.27
Brisbane Inner - North,Nov-22,0.0234000,2.34
Brisbane Inner - North,Dec-22,0.0118000,1.18
Brisbane Inner - North,Jan-23,0.0105000,1.05
Brisbane Inner - North,Feb-23,0.0058000,0.58
Brisbane Inner - North,Mar-23,0.0063000,0.63
Brisbane Inner - North,Apr-23,0.0744000,7.44
Brisbane Inner - North,May-23,0.0839000,8.39
Brisbane Inner - West,Jan-22,0.0037000,0.37
Brisbane Inner - West,Feb-22,0.0050000,0.5
Brisbane Inner - West,Mar-22,0.0126000,1.26
Brisbane Inner - West,Apr-22,0.0800000,8
Brisbane Inner - West,May-22,0.1501000,15.01
Brisbane Inner - West,Jun-22,0.1534000,15.34
Brisbane Inner - West,Jul-22,0.1379000,13.79
Brisbane Inner - West,Aug-22,0.1478000,14.78
Brisbane Inner - West,Sep-22,0.0977000,9.77
Brisbane Inner - West,Oct-22,0.0407000,4.07
Brisbane Inner - West,Nov-22,0.0170000,1.7
Brisbane Inner - West,Dec-22,0.0188000,1.88
Brisbane Inner - West,Jan-23,0.0171000,1.71
Brisbane Inner - West,Feb-23,0.0120000,1.2
Brisbane Inner - West,Mar-23,0.0154000,1.54
Brisbane Inner - West,Apr-23,0.0209000,2.09
Brisbane Inner - West,May-23,0.0699000,6.99
Broken Hill and Far West,Jan-22,0.0309000,3.09
Broken Hill and Far West,Feb-22,0.0078000,0.78
Broken Hill and Far West,Mar-22,0.0155000,1.55
Broken Hill and Far West,Apr-22,0.1129000,11.29
Broken Hill and Far West,May-22,0.0424000,4.24
Broken Hill and Far West,Jun-22,0.0628000,6.28
Broken Hill and Far West,Jul-22,0.1002000,10.02
Broken Hill and Far West,Aug-22,0.0870000,8.7
Broken Hill and Far West,Sep-22,0.1611000,16.11
Broken Hill and Far West,Oct-22,0.1007000,10.07
Broken Hill and Far West,Nov-22,0.0748000,7.48
Broken Hill and Far West,Dec-22,0.0670000,6.7
Broken Hill and Far West,Jan-23,0.0257000,2.57
Broken Hill and Far West,Feb-23,0.0191000,1.91
Broken Hill and Far West,Mar-23,0.0063000,0.63
Broken Hill and Far West,Apr-23,0.0520000,5.2
Broken Hill and Far West,May-23,0.0337000,3.37
Browns Plains,Jan-22,0.0003000,0.03
Browns Plains,Feb-22,0.0030000,0.3
Browns Plains,Mar-22,0.0121000,1.21
Browns Plains,Apr-22,0.0125000,1.25
Browns Plains,May-22,0.1450000,14.5
Browns Plains,Jun-22,0.1549000,15.49
